512.52545,1178.3519,947.12305,732.58405,0.44,0.44,635.51086,1.8314434,0.42578948,-0.9544223,200,147,3.1369932
411.61887,1444.2134,765.2914,1083.4014,0.68,0.68,515.02997,1.2291884,0.6390477,-0.7836169,159,260,3.6131928
398.6309,1447.2118,777.2803,1048.4196,0.65,0.65,552.9527,1.5935236,0.6116667,-0.93345207,140,207,3.8360667
366.6605,1500.1842,762.7792,1006.19885,0.58,0.58,637.03754,1.948127,0.5477778,-1.0189325,120,207,5.2994933
483.55228,1158.3623,926.14246,737.2856,0.45999998,0.53999996,613.615,1.3339456,0.6095834,-0.77556825,203,257,2.2668176
505.53192,1229.3253,963.1082,750.5747,0.78999996,0.82,668.0782,1.5218182,0.8295653,-0.8674866,207,232,3.0344522
346.67902,1500.1842,733.82056,1104.3904,0.75,0.75,558.25336,1.4425151,0.7125,-0.7896088,147,240,4.4690423
336.68826,1512.178,718.3349,1105.3899,0.57,0.65,563.0932,1.0787226,0.656923,-0.9594628,204,318,1.8350545
317.70584,1498.1853,728.3256,1109.3878,0.69,0.72999996,569.1523,1.0127264,0.7113332,-0.77455753,218,344,1.6877288
566.47546,1137.3732,907.16003,790.55383,0.64,0.7,490.28156,1.335917,0.6738096,-0.7795834,171,196,2.1188672
508.52914,1154.3644,902.1647,798.5497,0.62,0.62,531.80383,1.0636077,0.6563999,-0.7652397,229,271,1.7290517
297.72433,1504.1821,695.3561,1105.3899,0.51,0.59,569.6371,1.160157,0.5888889,-0.8312125,236,255,1.5652907
546.494,1128.3779,912.1554,802.5476,0.94,0.94,495.08386,1.0314248,0.89230764,-0.7718623,231,249,2.0128553
546.494,1152.3654,939.13043,769.5648,0.79999995,0.79999995,550.58563,1.1714588,0.7512,-0.8398457,222,248,1.9859169
329.69473,1498.1853,689.3617,1116.3842,0.44,0.61,526.6762,1.0972421,0.6026921,-0.7842963,219,261,2.006451
349.67624,1490.1895,754.6613,1068.0493,0.39,0.63,588.9831,1.0480126,0.6387096,-0.9113353,305,257,1.821642
280.74005,1546.1603,721.3321,1147.9315,0.59999996,0.71999997,597.66425,0.99115133,0.70193547,-0.87528527,249,354,1.2480088
553.4875,1130.3768,948.12213,782.55804,0.69,0.69,528.6546,1.0146922,0.6860714,-0.7736683,205,316,1.5482366
340.68454,1516.1759,699.3525,1184.3488,0.47,0.59999996,496.05615,0.9521231,0.5846429,-0.85364676,219,302,1.5111963
540.4995,1172.355,936.13324,816.54034,0.84,0.84,535.7972,1.0264313,0.7950001,-0.82804966,260,262,1.7592663
392.63644,1508.18,724.32935,1155.3639,0.74,0.74,488.35385,0.99461067,0.69479996,-0.7789478,145,346,2.3515737
571.4709,1154.3644,933.8927,781.80096,0.66999996,0.66999996,526.5474,1.1994246,0.6466668,-0.93209875,199,240,1.9883744
483.55228,1234.3228,959.48944,799.1531,0.71999997,0.71999997,653.68243,1.4890261,0.69000006,-0.7776127,250,189,2.4348295
509.52823,1245.317,991.08234,777.5606,0.45999998,0.64,678.09174,1.477324,0.58499986,-0.9059687,293,166,2.0526693
557.4838,1171.3555,987.08606,744.5778,0.48,0.53,615.4358,1.2284148,0.5646428,-0.8047362,286,215,1.5709336
